advance,038
again,745638
all,018a920
answer,3475
attack,83049
avoid,10427
balance,0568a975
barrier,0579
body,3453
breathe,13542
capture,27568a
change,65a7
chaos,8102456a
civilization,136742
clear,05a
clear_all,018a9205a
complex,4356
conflict,836749
contemplate,4536a920
courage,8367
create,24568
danger,035a
data,0456a
defend,16a72
destiny,35476a
destroy,13579
deteriorate,3568
die,86579
difficult,24756
discover,29a8
distance,018
easy,456a
end,027a50
enlightenment,3453029a
equal,6347
escape,02436
evolution,0536
failure,0547
fear,2743
follow,0429
forget,68
future,2479
gain,16
grow,638
harm,5403579
harmony,0356a7540
have,756a
help,13567
hide,34276
human,347a63
idea,429753186
ignore,79
imperfect,536546
improve,2457
impure,5365a
intelligence,245368
journey,245318a
lead,0186a
less,354
liberate,024538
lie,547536
lose,27
message,27538
mind,35a63
more,657
nature,863479
new,479
not,347
nourish,568a5
now,3674
old,136
open,67a6
open_all,a67a81029a
past,1368
path,0568
portal,134297681
potential,05792
pure,05475
pursue,1304
question,0436
react,43579
rebel,165429
recharge,01350
resistance,4305a6
restraint,13579a
retreat,049
safety,8349
save,2756
search,54367
see,03
self,8a9
separate,1365479
shapers,8630479
simple,67
soul,45a74
stability,8679
strong,34763
technology,24563579
together,534568
truth,3574563
use,275
unbounded,543672018a9
want,86a7
weak,1347
xm,347563
abandon,24568a
begin,06a7
destination,29a
legacy,863102479
nzeer,a504530
knowledge,354a3
osiris,034538940
perspective,865403579
us,34a
adapt,1657
after,245792
before,135681
interrupt,0531865a
mystery,130436
victory,03a40
you,0670
me,34a3
share,9768a
live_again,245638
presence,635476a76
worth,16572
consequence,13679
them,067
key,a5365475
shield,036a740
link,12
field,127a61
star,0531356865a579754245
nemesis,12456897531,
n,36547
l,367
1,36
3,34576
